         4643644 function calls (4640739 primitive calls) in 15.413 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:1043(__import__)
      341    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:119(release)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      160    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:163(__enter__)
      160    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
      341    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      181    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    223/8    0.001    0.000    0.550    0.069 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      150    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:321(__exit__)
      592    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      160    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      240    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:406(cached)
      150    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
      150    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  150/146    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
    150/8    0.003    0.000    0.550    0.069 <frozen importlib._bootstrap>:659(_load_unlocked)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
      160    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      607    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:852(__enter__)
      607    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:856(__exit__)
      160    0.005    0.000    0.155    0.001 <frozen importlib._bootstrap>:879(_find_spec)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
    160/8    0.002    0.000    0.557    0.070 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      341    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:94(acquire)
    160/8    0.004    0.000    0.558    0.070 <frozen importlib._bootstrap>:966(_find_and_load)
      142    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
  232/121    0.001    0.000    0.179    0.001 <frozen importlib._bootstrap>:996(_handle_fromlist)
       10    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
      462    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
      149    0.005    0.000    0.120    0.001 <frozen importlib._bootstrap_external>:1098(_get_spec)
      149    0.001    0.000    0.120    0.001 <frozen importlib._bootstrap_external>:1130(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(<genexpr>)
      139    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
      404    0.016    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
       10    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1286(<setcomp>)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
      202    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
      404    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
      139    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
     1918    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
      101    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
      101    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
      202    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      101    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
     1886    0.010    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      139    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
     1886    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      202    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      149    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:588(_open_registry)
      149    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:595(_search_registry)
      149    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:610(find_spec)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:653(create_module)
    101/8    0.001    0.000    0.549    0.069 <frozen importlib._bootstrap_external>:656(exec_module)
      677    0.002    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      101    0.002    0.000    0.076    0.001 <frozen importlib._bootstrap_external>:726(get_code)
      172    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
      101    0.012    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:813(get_data)
      101    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
      161    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
    38/36    0.000    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:900(create_module)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       10    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_TagInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:200(DibImageFile)
        1    0.000    0.000    0.006    0.006 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:61(BmpImageFile)
        1    0.000    0.000    0.005    0.005 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:45(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:53(GifImageFile)
     1249    0.011    0.000    0.018    0.000 Image.py:1180(getpixel)
        1    0.000    0.000    0.000    0.000 Image.py:1928(_ImageCrop)
